engine,group,name,compile_pass,compile_rc,compile_stack,compile_allocs,compile_allocated,compile_time,match_pass,match_rc,match_results,match_stack,match_allocs,match_allocated,match_time
pcre2,perf_nomatch,nomatch32k,PASS,1,18744,2,252,5745,PASS,0,FAIL,18744,3,20732,168723
re2,perf_nomatch,nomatch32k,PASS,1,3740,67,14304,70223,PASS,0,FAIL,4216,117,21356,26965
tre,perf_nomatch,nomatch32k,PASS,1,1252,36,12120,63744,PASS,0,FAIL,1252,38,13020,2472968
slre,perf_nomatch,nomatch32k,PASS,1,40,0,0,283,PASS,0,FAIL,2892,0,0,6888027
tiny-regex-c,perf_nomatch,nomatch32k,PASS,1,44,0,0,630,PASS,0,FAIL,97,0,0,1328209
subreg,perf_nomatch,nomatch32k,PASS,1,32,0,0,220,PASS,0,FAIL,278,0,0,1408
rele,perf_nomatch,nomatch64k,PASS,1,208,1,179,2789,PASS,0,FAIL,404,1,179,59283
libc,perf_nomatch,nomatch64k,PASS,1,816,52,6356,16618,PASS,0,FAIL,15288,73,9680,343495
newlib,perf_nomatch,nomatch64k,PASS,1,352,7,1890,10450,PASS,0,FAIL,352,7,1890,69455
pcre2,perf_nomatch,nomatch64k,PASS,1,18744,2,252,5743,PASS,0,FAIL,18744,3,20732,340569
re2,perf_nomatch,nomatch64k,PASS,1,3740,67,14304,70733,PASS,0,FAIL,4216,117,21356,52821
tre,perf_nomatch,nomatch64k,PASS,1,1252,36,12120,63692,PASS,0,FAIL,1252,38,13020,4958465
slre,perf_nomatch,nomatch64k,PASS,1,40,0,0,281,PASS,0,FAIL,2892,0,0,13965409
tiny-regex-c,perf_nomatch,nomatch64k,PASS,1,44,0,0,618,PASS,0,FAIL,97,0,0,2664195
subreg,perf_nomatch,nomatch64k,PASS,1,32,0,0,221,PASS,0,FAIL,278,0,0,1407
rele,perf_nomatch,nomatch128k,PASS,1,208,1,179,2790,PASS,0,FAIL,404,1,179,118090
libc,perf_nomatch,nomatch128k,PASS,1,808,52,6356,16674,PASS,0,FAIL,15288,73,9680,670286
newlib,perf_nomatch,nomatch128k,PASS,1,352,7,1890,10477,PASS,0,FAIL,352,7,1890,140926
pcre2,perf_nomatch,nomatch128k,PASS,1,18744,2,252,5739,PASS,0,FAIL,18744,3,20732,652539
re2,perf_nomatch,nomatch128k,PASS,1,3740,67,14304,71205,PASS,0,FAIL,4216,117,21356,106000
tre,perf_nomatch,nomatch128k,PASS,1,1252,36,12120,63805,PASS,0,FAIL,1252,38,13020,9894424
slre,perf_nomatch,nomatch128k,PASS,1,40,0,0,281,PASS,0,FAIL,2892,0,0,27533536
tiny-regex-c,perf_nomatch,nomatch128k,PASS,1,44,0,0,625,PASS,0,FAIL,97,0,0,5309000
subreg,perf_nomatch,nomatch128k,PASS,1,32,0,0,218,PASS,0,FAIL,278,0,0,1409
rele,perf_nomatch,nomatch256k,PASS,1,208,1,179,2764,PASS,0,FAIL,404,1,179,237025
libc,perf_nomatch,nomatch256k,PASS,1,816,52,6356,16689,PASS,0,FAIL,15288,73,9680,1351328
newlib,perf_nomatch,nomatch256k,PASS,1,352,7,1890,10438,PASS,0,FAIL,352,7,1890,278058
pcre2,perf_nomatch,nomatch256k,PASS,1,18744,2,252,5750,PASS,0,FAIL,18744,3,20732,1309116
re2,perf_nomatch,nomatch256k,PASS,1,3740,67,14304,70429,PASS,0,FAIL,4216,117,21356,210011
tre,perf_nomatch,nomatch256k,PASS,1,1252,36,12120,63900,PASS,0,FAIL,1252,38,13020,19932404
slre,perf_nomatch,nomatch256k,PASS,1,40,0,0,277,PASS,0,FAIL,2892,0,0,55604886
tiny-regex-c,perf_nomatch,nomatch256k,PASS,1,44,0,0,624,PASS,0,FAIL,97,0,0,10657053
subreg,perf_nomatch,nomatch256k,PASS,1,32,0,0,221,PASS,0,FAIL,278,0,0,1412
